"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","SG","Fox","66","16","0","82","80","3695","2/20/2015 12:00:00 AM"
"","emoDinosaur","Falco","66","18","0","84","78","3694","2/20/2015 12:00:00 AM"
"","Brown Shirt","Fox","63","26","0","89","70","3622","2/20/2015 12:00:00 AM"
"","AceOfFlakes","Jigglypuff","40","17","0","57","70","3463","2/6/2015 12:00:00 AM"
"","Jimmy","Peach","39","18","0","57","68","3452","2/6/2015 12:00:00 AM"
"","The Brig","C. Falcon","61","30","0","91","67","3383","2/20/2015 12:00:00 AM"
"","Aglet","Jigglypuff","7","1","0","8","87","3352","2/20/2015 12:00:00 AM"
"","Wife","Peach","6","0","0","6","100","3325","11/21/2014 12:00:00 AM"
"","Phatcat","Marth","28","14","0","42","66","3245","2/13/2015 12:00:00 AM"
"","EPhoenix","Fox","10","4","0","14","71","3227","2/6/2015 12:00:00 AM"
"","Lock","Samus","7","2","0","9","77","3084","9/5/2014 12:00:00 AM"
"","Gerg","Falco","36","20","0","56","64","3082","2/13/2015 12:00:00 AM"
"","Chivalruse","Marth/Ice Climbers","29","16","0","45","64","3068","2/20/2015 12:00:00 AM"
"","Dutch","Sheik","48","30","0","78","61","3029","2/20/2015 12:00:00 AM"
"","Wenz","Dr. Mario","9","4","0","13","69","3013","9/12/2014 12:00:00 AM"
"","Astrum","C. Falcon","6","2","0","8","75","2969","11/7/2014 12:00:00 AM"
"","Mike Melee","Falco","10","4","0","14","71","2926","2/20/2015 12:00:00 AM"
"","P4","Marth","34","22","0","56","60","2881","2/13/2015 12:00:00 AM"
"","Peanutphobia","Yoshi","41","30","0","71","57","2867","2/20/2015 12:00:00 AM"
"","Sypher Phoenix","Fox","4","2","0","6","66","2834","2/20/2015 12:00:00 AM"
"","Cava","Luigi","11","6","0","17","64","2786","2/20/2015 12:00:00 AM"
"","Kokowam","Fox","9","4","0","13","69","2782","1/30/2015 12:00:00 AM"
"","Nighthart","Falco","22","14","0","36","61","2723","2/6/2015 12:00:00 AM"
"","Nurok","Falco","5","2","0","7","71","2721","2/13/2015 12:00:00 AM"
"","Reslived","Sheik","20","16","0","36","55","2693","2/20/2015 12:00:00 AM"
"","Silence","Fox","13","10","0","23","56","2631","2/6/2015 12:00:00 AM"
"","Crescent Monkey","Marth/C. Falcon","8","4","0","12","66","2572","2/13/2015 12:00:00 AM"
"","Jisoo","Ice Climbers","27","20","0","47","57","2566","2/20/2015 12:00:00 AM"
"","Vin","Falco","28","24","0","52","53","2510","2/20/2015 12:00:00 AM"
"","Mada Jr","Marth","38","30","0","68","55","2503","2/20/2015 12:00:00 AM"
"","Bouyer","Falco","28","28","0","56","50","2455","2/6/2015 12:00:00 AM"
"","Mr. H","Fox","21","16","0","37","56","2453","2/20/2015 12:00:00 AM"
"","Ed","C. Falcon","26","24","0","50","52","2431","2/13/2015 12:00:00 AM"
"","Takeover","Falco","23","22","0","45","51","2429","2/20/2015 12:00:00 AM"
"","Kvn","Sheik","23","22","0","45","51","2380","2/20/2015 12:00:00 AM"
"","Slikvik","Peach","6","4","0","10","60","2362","9/12/2014 12:00:00 AM"
"UMBC","Sylvx","Sheik","6","2","0","8","75","2357","1/30/2015 12:00:00 AM"
"","ARisingShadow","Falco","16","12","0","28","57","2337","2/6/2015 12:00:00 AM"
"","JSP","Peach/Fox","7","4","0","11","63","2301","2/13/2015 12:00:00 AM"
"","Brotherly","Fox","27","28","0","55","49","2276","2/20/2015 12:00:00 AM"
"","~20%","Fox","12","10","0","22","54","2230","2/20/2015 12:00:00 AM"
"","Soil","","10","6","0","16","62","2220","2/20/2015 12:00:00 AM"
"","JewChainz","Sheik","6","6","0","12","50","2198","2/6/2015 12:00:00 AM"
"","Stone","Marth","20","25","0","45","44","2067","2/20/2015 12:00:00 AM"
"","Neel","Marth","8","8","0","16","50","2014","11/7/2014 12:00:00 AM"
"","Loose Butthole","Peach","5","6","0","11","45","2012","11/7/2014 12:00:00 AM"
"","tdude51","Marth","4","4","0","8","50","1962","11/7/2014 12:00:00 AM"
"","JippyTheLion","Sheik","14","18","0","32","43","1932","2/13/2015 12:00:00 AM"
"","YoungKFromTheBOONS","C. Falcon","5","4","0","9","55","1889","2/6/2015 12:00:00 AM"
"","AlexThe13th","","5","4","0","9","55","1825","1/30/2015 12:00:00 AM"
"","PopeHat","Marth","16","24","0","40","40","1809","2/20/2015 12:00:00 AM"
"UMBC","KaptainKillem","Marth","5","4","0","9","55","1784","2/20/2015 12:00:00 AM"
"","Lutano","Marth","10","16","0","26","38","1722","2/13/2015 12:00:00 AM"
"","Pedoman","Luigi","8","14","0","22","36","1676","2/20/2015 12:00:00 AM"
"UMBC","PHrez","C. Falcon","8","10","0","18","44","1654","2/20/2015 12:00:00 AM"
"","Coxy","","11","16","0","27","40","1647","2/13/2015 12:00:00 AM"
"","Swooty","Gannondorf","8","8","0","16","50","1622","2/20/2015 12:00:00 AM"
"","kyle","","7","8","0","15","46","1615","2/13/2015 12:00:00 AM"
"","Kneel","","7","10","0","17","41","1580","2/13/2015 12:00:00 AM"
"","King","","4","6","0","10","40","1532","2/6/2015 12:00:00 AM"
"","BlackMagic754","Peach/Fox","8","18","0","26","30","1445","2/20/2015 12:00:00 AM"
"","Big Papi","","8","22","0","30","26","1359","2/20/2015 12:00:00 AM"
"","PattyLove","","4","8","0","12","33","1271","10/3/2014 12:00:00 AM"
"","Brynk","","3","4","0","7","42","1260","2/6/2015 12:00:00 AM"
"","Tristump","Fox","6","14","0","20","30","1244","2/20/2015 12:00:00 AM"
"","Chibi","Luigi","5","12","0","17","29","1230","2/20/2015 12:00:00 AM"
"UMBC","Bacon Incarnate","Jigglypuff","3","4","0","7","42","1186","2/20/2015 12:00:00 AM"
"","Galen","","3","4","0","7","42","1184","9/12/2014 12:00:00 AM"
"","Bonk","C. Falcon","4","8","0","12","33","1169","2/13/2015 12:00:00 AM"
"","JustBlameHax","","4","12","0","16","25","1147","2/13/2015 12:00:00 AM"
"","Fatness","","3","11","0","14","21","1056","2/20/2015 12:00:00 AM"
"","Flavio","Luigi","2","4","0","6","33","1048","2/20/2015 12:00:00 AM"
"","Breakfast","","3","6","0","9","33","1033","2/20/2015 12:00:00 AM"
"","Vince","Marth","2","4","0","6","33","1019","1/30/2015 12:00:00 AM"
"UMBC","Foxy Boxy","","3","6","0","9","33","936","2/6/2015 12:00:00 AM"
"","spud","","2","6","0","8","25","934","2/13/2015 12:00:00 AM"
"","Dank Fox","","2","4","0","6","33","886","2/20/2015 12:00:00 AM"
"","ItsKrunchTime","Dr. Mario/Marth","2","18","0","20","10","817","2/20/2015 12:00:00 AM"
"","Heka","","2","4","0","6","33","799","1/30/2015 12:00:00 AM"
"","Fuzzy Dunlop","","2","6","0","8","25","783","2/20/2015 12:00:00 AM"
"","Bob","","2","4","0","6","33","720","2/20/2015 12:00:00 AM"
"","Keith","Marth","1","8","0","9","11","693","10/31/2014 12:00:00 AM"
"","Bruso","","1","6","0","7","14","688","11/14/2014 12:00:00 AM"
"","Ted","","2","6","0","8","25","665","2/13/2015 12:00:00 AM"
"","Vhat","","2","10","0","12","16","625","2/20/2015 12:00:00 AM"
"","Jimyo","","2","6","0","8","25","622","2/20/2015 12:00:00 AM"
"","Purple","","1","14","0","15","6","555","2/20/2015 12:00:00 AM"
"","Stratos","","1","6","0","7","14","499","2/20/2015 12:00:00 AM"
"","007","","1","6","0","7","14","373","10/31/2014 12:00:00 AM"
"","C-Vern","","1","6","0","7","14","278","2/13/2015 12:00:00 AM"
"","Doh","Falco","1","6","0","7","14","274","1/30/2015 12:00:00 AM"
"","nijp","","0","6","0","6","0","85","11/14/2014 12:00:00 AM"
"","World Peace","","0","6","0","6","0","0","2/13/2015 12:00:00 AM"
"","Pascal","Falco","0","8","0","8","0","0","11/21/2014 12:00:00 AM"
