"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Mike Melee*","","7","0","0","7","100","6791","9/12/2015 4:44:30 AM"
"","Peanutphobia*","","6","2","0","8","75","6072","9/12/2015 4:44:30 AM"
"","Jimmy*","","6","2","0","8","75","5904","9/12/2015 4:44:30 AM"
"","BaconPancakes*","","5","2","0","7","71","5444","9/12/2015 4:44:30 AM"
"","Clown*","","6","2","0","8","75","5284","9/12/2015 4:44:30 AM"
"","Phatcat*","","5","2","0","7","71","5259","9/12/2015 4:44:30 AM"
"","Dutch*","","4","2","0","6","66","4688","9/12/2015 4:44:30 AM"
"","The Brig*","","4","2","0","6","66","4655","9/12/2015 4:44:30 AM"
"","Veeks*","","6","2","0","8","75","4621","9/12/2015 4:44:30 AM"
"","Jus*","","5","2","0","7","71","4556","9/12/2015 4:44:30 AM"
"","SG","","5","2","0","7","71","4552","9/12/2015 4:44:30 AM"
"","PeterTheHo*","","4","2","0","6","66","4391","9/12/2015 4:44:30 AM"
"","Chivalruse*","","4","2","0","6","66","4061","9/12/2015 4:44:30 AM"
"","squil*","","4","2","0","6","66","3903","9/12/2015 4:44:30 AM"
"","MH | ARisingShadow*","","3","2","0","5","60","3665","9/12/2015 4:44:30 AM"
"","Vin","","3","2","0","5","60","3643","9/12/2015 4:44:30 AM"
"","PaperTiger*","","3","2","0","5","60","3322","9/12/2015 4:44:30 AM"
"","ed*","","3","2","0","5","60","3310","9/12/2015 4:44:30 AM"
"","Brynk*","","3","2","0","5","60","3203","9/12/2015 4:44:30 AM"
"","Cava*","","2","2","0","4","50","2879","9/12/2015 4:44:30 AM"
"","9!*","","3","2","0","5","60","2877","9/12/2015 4:44:30 AM"
"","Noise*","","2","2","0","4","50","2739","9/12/2015 4:44:30 AM"
"","Jisoo*","","2","2","0","4","50","2646","9/12/2015 4:44:30 AM"
"","nighthart","","2","2","0","4","50","2623","9/12/2015 4:44:30 AM"
"","20%*","","2","2","0","4","50","2622","9/12/2015 4:44:30 AM"
"","SearingArrow*","","2","2","0","4","50","2568","9/12/2015 4:44:30 AM"
"","KaptinKillem*","","2","2","0","4","50","2536","9/12/2015 4:44:30 AM"
"","ZZZ","","2","2","0","4","50","2419","9/12/2015 4:44:30 AM"
"","1BM","","2","2","0","4","50","2409","9/12/2015 4:44:30 AM"
"","Snover*","","2","2","0","4","50","2381","9/12/2015 4:44:30 AM"
"","Mada Jr*","","2","2","0","4","50","2380","9/12/2015 4:44:30 AM"
"","Raph*","","2","2","0","4","50","2377","9/12/2015 4:44:30 AM"
"","uleksite*","","2","2","0","4","50","2041","9/12/2015 4:44:30 AM"
"","Crimzon*","","2","2","0","4","50","2041","9/12/2015 4:44:30 AM"
"","Phrez*","","2","2","0","4","50","2003","9/12/2015 4:44:30 AM"
"","Chvch*","","2","2","0","4","50","1834","9/12/2015 4:44:30 AM"
"","Outmashed*","","2","2","0","4","50","1791","9/12/2015 4:44:30 AM"
"","batmo*","","2","2","0","4","50","1754","9/12/2015 4:44:30 AM"
"","PatrickJamesSutton","","2","2","0","4","50","1713","9/12/2015 4:44:30 AM"
"","Noot Noot*","","2","2","0","4","50","1713","9/12/2015 4:44:30 AM"
