"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","SG","Fox","99","20","0","119","83","3929","5/8/2015 7:45:28 PM"
"","emoDinosaur","Falco","99","26","0","125","79","3848","5/8/2015 7:45:28 PM"
"","Mike Melee","Falco","38","14","0","52","73","3612","5/8/2015 7:45:28 PM"
"","Brown Shirt","Fox","76","32","0","108","70","3609","3/27/2015 5:45:47 PM"
"","Jimmy","Peach","55","26","0","81","67","3510","5/1/2015 5:26:22 PM"
"","Wife","Peach","11","2","0","13","84","3451","5/1/2015 5:26:22 PM"
"","The Brig","C. Falcon","83","40","0","123","67","3429","5/8/2015 7:45:28 PM"
"","AceOfFlakes","Jigglypuff","46","21","0","67","68","3399","4/10/2015 5:34:48 PM"
"","Aglet","Jigglypuff","7","1","0","8","87","3352","2/20/2015 12:00:00 AM"
"","Phatcat","Marth","49","26","0","75","65","3336","5/8/2015 7:45:28 PM"
"","Sypher Phoenix","Fox","9","4","0","13","69","3283","3/27/2015 5:45:47 PM"
"","EPhoenix","Fox","10","4","0","14","71","3227","2/6/2015 12:00:00 AM"
"","Nurok","Falco","16","5","0","21","76","3206","4/25/2015 2:40:44 AM"
"","Peanutphobia","Yoshi","65","41","0","106","61","3171","5/1/2015 5:26:22 PM"
"","Gerg","Falco","42","24","0","66","63","3086","3/27/2015 5:45:47 PM"
"","Lock","Samus","7","2","0","9","77","3084","9/5/2014 12:00:00 AM"
"","Chivalruse","Marth/Ice Climbers","42","28","0","70","60","3067","5/8/2015 7:45:28 PM"
"","Cava","Luigi","22","12","0","34","64","3059","5/1/2015 5:26:22 PM"
"","P4","Marth","52","30","0","82","63","3038","4/25/2015 2:40:44 AM"
"","Dutch","Sheik","65","42","0","107","60","3007","5/8/2015 7:45:28 PM"
"","Husband","","5","1","0","6","83","2990","4/3/2015 5:38:00 PM"
"","Wenz","Dr. Mario","14","8","0","22","63","2970","4/10/2015 5:34:48 PM"
"","Astrum","C. Falcon","6","2","0","8","75","2969","11/7/2014 12:00:00 AM"
"","Bacon Pancakes","Fox","12","5","0","17","70","2923","4/10/2015 5:34:48 PM"
"","Silence","Fox","33","22","0","55","60","2863","5/8/2015 7:45:28 PM"
"","Crescent Monkey","Marth/C. Falcon","18","10","0","28","64","2787","5/8/2015 7:45:28 PM"
"","Sooji","","5","2","0","7","71","2785","3/27/2015 5:45:47 PM"
"","Kokowam","Fox","9","4","0","13","69","2782","1/30/2015 12:00:00 AM"
"","~20%","Fox","29","22","0","51","56","2750","5/8/2015 7:45:28 PM"
"","Slikvik","Peach","9","6","0","15","60","2719","5/8/2015 7:45:28 PM"
"","tdude51","Marth","11","8","0","19","57","2715","5/1/2015 5:26:22 PM"
"","ARisingShadow","Falco","33","24","0","57","57","2706","5/8/2015 7:45:28 PM"
"","Reslived","Sheik","21","18","0","39","53","2669","5/8/2015 7:45:28 PM"
"","Jisoo","Ice Climbers","35","26","0","61","57","2657","5/1/2015 5:26:22 PM"
"","Nighthart","Falco","26","20","0","46","56","2651","5/1/2015 5:26:22 PM"
"","Takeover","Falco","34","28","0","62","54","2629","4/23/2015 8:16:21 PM"
"","Vin","Falco","41","36","0","77","53","2577","5/8/2015 7:45:28 PM"
"","Kvn","Sheik","46","38","0","84","54","2562","5/1/2015 5:26:22 PM"
"","Ed","C. Falcon","38","32","0","70","54","2558","5/8/2015 7:45:28 PM"
"","CTL","","4","2","0","6","66","2538","2/28/2015 12:01:48 AM"
"","JSP","Peach/Fox","10","8","0","18","55","2537","5/8/2015 7:45:28 PM"
"","Mr. H","Fox","29","24","0","53","54","2475","5/1/2015 5:26:22 PM"
"","Mada Jr","Marth","49","42","0","91","53","2466","5/1/2015 5:26:22 PM"
"","Tichinde925","","4","2","0","6","66","2438","4/25/2015 2:40:44 AM"
"","Clown","","5","2","0","7","71","2434","5/8/2015 7:45:28 PM"
"","Slurp","","13","8","0","21","61","2401","5/8/2015 7:45:28 PM"
"","Brotherly","Fox","41","38","0","79","51","2379","5/1/2015 5:26:22 PM"
"","Bouyer","Falco","35","38","0","73","47","2377","5/8/2015 7:45:28 PM"
"","Loose Butthole","Peach","15","16","0","31","48","2376","4/23/2015 8:16:21 PM"
"","AlexThe13th","","15","10","0","25","60","2360","4/25/2015 2:40:44 AM"
"UMBC","Sylvx","Sheik","6","2","0","8","75","2357","1/30/2015 12:00:00 AM"
"","Soil","","16","12","0","28","57","2322","5/8/2015 7:45:28 PM"
"","Neel","Marth","13","12","0","25","52","2206","5/1/2015 5:26:22 PM"
"","JewChainz","Sheik","6","6","0","12","50","2198","2/6/2015 12:00:00 AM"
"","Tristump","Fox","26","30","0","56","46","2173","5/8/2015 7:45:28 PM"
"","Tree","","5","2","0","7","71","2157","4/25/2015 2:40:44 AM"
"","Stone","Marth","21","27","0","48","43","2052","3/6/2015 5:42:09 PM"
"","PopeHat","Marth","27","40","0","67","40","2032","5/8/2015 7:45:28 PM"
"","Oak","","4","4","0","8","50","2002","5/1/2015 5:26:22 PM"
"","Dennis Bulbul","","4","4","0","8","50","1969","4/25/2015 2:40:44 AM"
"","Peter Ho","","13","14","0","27","48","1953","4/25/2015 2:40:44 AM"
"","JippyTheLion","Sheik","14","18","0","32","43","1932","2/13/2015 12:00:00 AM"
"","Low Key Milf","","4","2","0","6","66","1867","4/25/2015 2:40:44 AM"
"","YoungKFromTheBOONS","C. Falcon","6","6","0","12","50","1833","4/3/2015 5:38:00 PM"
"","kyle","","14","18","0","32","43","1820","4/25/2015 2:40:44 AM"
"","Swooty","Gannondorf","13","12","0","25","52","1817","5/1/2015 5:26:22 PM"
"","Lutano","Marth","13","20","0","33","39","1763","5/8/2015 7:45:28 PM"
"","Kneel","","12","20","0","32","37","1753","5/8/2015 7:45:28 PM"
"","Indigo","","5","4","0","9","55","1731","4/3/2015 5:38:00 PM"
"","Coxy","","14","22","0","36","38","1720","5/1/2015 5:26:22 PM"
"","Blue Sweater","","4","2","0","6","66","1710","4/25/2015 2:40:44 AM"
"","Pedoman","Luigi","9","16","0","25","36","1705","5/1/2015 5:26:22 PM"
"UMBC","KaptainKillem","Marth","6","8","0","14","42","1697","4/23/2015 8:16:21 PM"
"UMBC","ZZZ","Marth","5","8","0","13","38","1659","5/8/2015 7:45:28 PM"
"","SoneD","","4","4","0","8","50","1647","4/3/2015 5:38:00 PM"
"UMBC","PHrez","C. Falcon","12","20","0","32","37","1628","4/25/2015 2:40:44 AM"
"","Magi","","4","4","0","8","50","1626","5/8/2015 7:45:28 PM"
"","spud","","8","16","0","24","33","1619","5/8/2015 7:45:28 PM"
"","Breeze","","4","4","0","8","50","1605","3/6/2015 5:42:09 PM"
"","Breakfast","","10","20","0","30","33","1534","5/8/2015 7:45:28 PM"
"","Dank Fox","","5","10","0","15","33","1530","4/10/2015 5:34:48 PM"
